incident_id,people_involved_type,damage_human,damage_lab,severity,chemicals,cause,narrative_description,lessons_learned,university,source_URL
11,group,chemical exposure,equipment damage,minor,unknown,human error,"While melting solidified media in a two-liter glass bottle inside a newly purchased, smaller microwave, the container was wedged diagonally due to limited space. The bottle cap was vented, but its positioning restricted venting, allowing pressure to build. During heating, the microwave door burst open and the bottle was propelled across the lab, spraying media on two lab members where one working at a computer and another passing by. No one in the lab was wearing PPE, but no burns occurred, and the bottle remained intact. The microwave door hinges were damaged and the unit became unusable. Contributing factors included improper vessel positioning, unattended heating, lack of updated SOPs for new equipment, and inadequate venting.",Use appropriate PPE; Follow standard operating procedures; Maintain equipment safety features; Handle chemicals carefully; Train staff,Texas Tech University,https://www.depts.ttu.edu/ehs/about/safety@ttu/lessons-learned/jan-2023.php
12,group,inhalation,none,minor,carbon monoxide,equipment failure; human error,"During a methanol synthesis experiment, a CO leak occurred at the detection site due to a loose PTFE tube on the GC exhaust, which was only pushed onto the fitting threads and not secured with a Swagelok fitting. The tubing detached during the test, releasing CO into the lab and triggering CO alarms at 120 ppm. Contributing factors included underestimating the potential for CO release from the GC exhaust and inadequate securing of vent tubing. No injuries were reported.",Maintain equipment safety features; Follow standard operating procedures; Train staff; Handle chemicals carefully,Texas Tech University,https://www.depts.ttu.edu/ehs/about/safety@ttu/lessons-learned/sept-2022.php
13,individual,none,equipment damage,minor,methanol,equipment failure,"A student was using a rotary evaporator to remove excess methanol when the attached round-bottom flask exploded due to a faulty water bath. The bath temperature was significantly higher than indicated (e.g., set at 40°C but actually at 80°C), causing overpressurization and failure of the flask. The fume hood sash contained the glass debris and methanol mixture, preventing injury. The incident occurred shortly after replacing the old rotovap with a new model, without calibrating the water bath.",Follow standard operating procedures; Maintain equipment safety features; Train staff,Texas Tech University,https://www.depts.ttu.edu/ehs/about/safety@ttu/lessons-learned/march-2021.php
14,individual,inhalation,chemical release; equipment damage,minor,dichloromethane,human error; lack of training,"During transfer of dichloromethane from a 20-liter drum into a 4-liter glass secondary container, the worker dropped the container from about three feet, causing it to break and spill its entire contents onto the floor and onto the worker’s lower legs and feet. Although proper PPE was worn and the transfer method was appropriate, the worker did not immediately evacuate or use the safety shower, instead remaining in the lab near the spill for ~15 minutes until vapors subsided. They later rinsed their feet in a public sink, increased ventilation, and left broken glass for others to clean. Symptoms of dizziness, drowsiness, headache, and nausea appeared ~2 hours later, and the worker was hospitalized for observation. Lack of laboratory-specific training on hazard awareness and spill response contributed to the severity of the incident.",Train staff; Follow standard operating procedures; Handle chemicals carefully; Follow hazardous waste protocols,Texas Tech University,https://www.depts.ttu.edu/ehs/about/safety@ttu/lessons-learned/march-2018.php
15,individual,burn,explosion,moderate,aluminum; iodine oxide,human error,"A graduate student was preparing small batches of aluminum and iodine oxide powder for XRD analysis when a detonation occurred during grinding in a mortar and pestle. Procedures called for limiting each batch to 10–20 mg, but material built up on the pestle over multiple batches because it was not cleaned between uses. This accumulation was enough to cause a detonation, resulting in a minor chemical burn to the student’s hand. The student was wearing appropriate PPE and was taken to the hospital for treatment.",Follow standard operating procedures; Handle chemicals carefully; Train staff,Texas Tech University,https://www.depts.ttu.edu/ehs/about/safety@ttu/lessons-learned/january-2018.php
16,individual,cut,explosion; evacuation,moderate,diazonium salt,human error,"An undergraduate research student was collecting a dry precipitate powder with a metal spatula when a glass scintillation vial exploded, causing superficial injuries that required medical attention. The explosion occurred because a hydrochloric acid precipitation step from a literature procedure had been omitted, leading to the unintentional formation of an energetic diazonium salt. The vial detonated during handling. All lab personnel were wearing PPE, and the lab was evacuated. Emergency services responded, and the student returned to class the next day.",Follow standard operating procedures; Handle chemicals carefully; Train staff,Texas Tech University,https://www.depts.ttu.edu/ehs/about/safety@ttu/lessons-learned/march-2016.php
17,none,none,fire; thermal damage; equipment damage; alarm activation,moderate,none,equipment failure,"A thermocouple malfunction in a hotplate led to overheating of an oil bath. The container broke, spilling oil that ignited and caused a fire. Smoke triggered the fume hood alarm and later the room fire alarm. Heat from the fire melted aluminum clamps. The malfunction was linked to potential liquid contact with electronics, which can cause short circuits. The incident highlighted risks from misplaced, fallen, or faulty temperature sensors.",Maintain equipment safety features; Follow standard operating procedures,Texas Tech University,https://www.depts.ttu.edu/ehs/about/safety@ttu/lessons-learned/april-2015.php
18,group,impact injury,explosion; evacuation,major,nitric acid; methanol; dimethylglyoxime,improper waste management; human error,"In a chemistry teaching lab, a student attempted to open a capped waste bottle to add waste during a planned experiment when the bottle exploded, injuring three undergraduates and a graduate teaching assistant. The explosion was caused by the mixing of incompatible wastes: nitric acid, methanol, and dimethylglyoxime. The nitric acid step had been removed from the procedure in 2011, but the written instructions had not been updated. The reaction generated pressure in the sealed container over the weekend, leading to failure. All personnel were wearing appropriate PPE. The lab was evacuated, and emergency responders transported the injured to the hospital.",Follow hazardous waste protocols; Follow standard operating procedures; Train staff; Handle chemicals carefully,Texas Tech University,https://www.depts.ttu.edu/ehs/about/safety@ttu/lessons-learned/feb-2015.php
19,group,burn,fire; evacuation,major,aluminum nanoparticles,chemical instability; missing label; lack of training,"Two graduate students and three student workers were working with aluminum nanoparticles obtained from another lab when a spontaneous fire ignited a weigh boat. The available dry agent “ABC” fire extinguisher was ineffective for the metal fire, which was eventually smothered with lab coats. One graduate student sustained burns to pants but no significant injury was reported. The aluminum nanoparticles, stored in a sealed airtight bag in a freezer, were unoxidized and not appropriately labeled. Procedures in the receiving lab did not include review of safety information for these materials, and proper suppression media for metal fires were not available. The lab was evacuated and emergency services responded.",Practice proper labeling; Train staff; Handle chemicals carefully; Store chemicals under safe conditions; Maintain updated inventory,Texas Tech University,https://www.depts.ttu.edu/ehs/about/safety@ttu/lessons-learned/july-2014.php
20,individual,eye injury,none,moderate,nitric acid,human error,"A new graduate student was adding plastic ware to a 10% nitric acid bath when the acid splashed into one eye. The student was wearing a lab coat and gloves but no eye protection. Immediate flushing at a sink for ~2 minutes caused the contact lenses to fall out, followed by a 15-minute rinse at an eyewash station. The student was taken to the hospital, examined by a physician, and given antibacterial eye drops.",Use appropriate PPE; Train staff; Handle chemicals carefully,Texas Tech University,https://www.depts.ttu.edu/ehs/about/safety@ttu/lessons-learned/june-2012.php
21,group,none,fire; alarm activation,moderate,sulfur; unspecified metal compound,improper waste management; human error,"Members of a research group disposed of various dry materials into a five-gallon waste bucket without tracking contents or checking compatibility. Sulfur was added and covered with sand, but not recorded. Later, a metal compound was added, triggering an exothermic reaction and fire. The first attempt to extinguish with sand tipped the bucket over; a second attempt succeeded. Smoke set off the fire alarm. EH&S found the lab had broader chemical labeling, segregation, and storage issues, closed the lab, and retrained the group on waste handling and chemical segregation.",Follow hazardous waste protocols; Follow standard operating procedures; Train staff; Practice proper labeling; Handle chemicals carefully,Texas Tech University,www.depts.ttu.edu/ehs/about/safety@ttu/lessons-learned/march-2012.php
22,none,none,explosion,major,nitric acid; ethanol; hydrofluoric acid; hydrochloric acid; hydrogen peroxide,improper waste management; human error,"Graduate students completed a multi-step procedure involving nitric acid, hydrofluoric acid, hydrochloric acid, hydrogen peroxide, and a hydrofluoric acid and ethanol mixture. Each waste stream was intended for separate bottles in a cabinet beneath the fume hood. Several hours after the students left, a waste bottle exploded, propelling 0.5-inch glass shards up to 35 feet and blowing open cabinet doors. No one was injured. The explosion was caused by mixing nitric acid waste with hydrofluoric acid and ethanol waste, producing an oxidative reaction that generated pressure until the tightly capped glass bottle failed. Contributing factors included lack of polymer-coated bottles, absence of color-coded labels or venting caps, tight sealing, and possible misunderstanding of the waste labels.",Follow hazardous waste protocols; Practice proper labeling; Train staff; Handle chemicals carefully; Store chemicals under safe conditions,Texas Tech University,https://www.depts.ttu.edu/ehs/about/safety@ttu/lessons-learned/october-2011.php
23,individual,burn; cut; amputation; eye injury,explosion; fire; equipment damage; lab shutdown,severe,nickel hydrazine perchlorate,human error; lack of training,"During synthesis of approximately 10 g of nickel hydrazine perchlorate, a graduate student scaled up the experiment to more than 100 times the quantity previously produced. While handling the material, an explosion occurred, severely injuring the student and damaging the laboratory. The blast caused lacerations, burns, and the loss of three fingers, as well as eye damage. The laboratory sustained significant structural damage, leading to a shutdown.",Train staff; Handle chemicals carefully; Follow standard operating procedures; Store chemicals under safe conditions; Maintain equipment safety features,Texas Tech University,https://ehs.utexas.edu/planning-safe-research/lab-incidents-lessons-learned
24,individual,none,explosion; equipment damage,moderate,dimethyl sulfoxide; bromoethane,human error,"A reaction involving dimethyl sulfoxide and bromoethane in a pressure vessel overheated due to lack of temperature control, causing overpressurization and vessel rupture. The explosion damaged the fume hood sash, but was contained. Researchers responded quickly and modified SOPs to include better temperature control and monitoring.",Train staff; Handle chemicals carefully; Follow standard operating procedures,"University of California, Berkeley",https://ehs.berkeley.edu/news/fume-hood-sash-cracks-due-reaction-vessel-overpressurization
25,individual,burn,explosion; equipment damage,moderate,hexanes; ethyl acetate; organic azide,human error,"A researcher heated a capped media bottle containing hexanes, ethyl acetate, and organic azide by hand using a heat gun. The vessel shattered from internal pressure, burning the researcher’s glove and skin. The incident was mitigated by proper PPE and hood sash positioning.",Train staff; Handle chemicals carefully; Follow standard operating procedures; Use appropriate PPE,"University of California, Berkeley",https://ehs.berkeley.edu/news/skin-burns-heating-glass-vessel
26,individual,eye injury,none,moderate,none,human error; lack of training,A researcher inspecting a non-linear crystal on an optical table was exposed to a 1 watt laser beam reflected into their right eye by a dielectric mirror. The researcher believed the laser was off and was not wearing protective eyewear. The laser caused an eye injury confirmed by an optometrist.,Train staff; Use appropriate PPE; Follow standard operating procedures,"University of California, Berkeley",https://ehs.berkeley.edu/news/laser-eye-exposure-1-watt-class-4-laser-beam
27,individual,cut,explosion; equipment damage,moderate,nitrogen,equipment failure; human error,"A vacuum chamber over-pressurized while a researcher was venting it with nitrogen from a gas cylinder. The chamber was left unattended and eventually over-pressurized, shattering the view window and injuring the researcher.",Train staff; Use appropriate PPE; Follow standard operating procedures,"University of California, Berkeley",https://ehs.berkeley.edu/news/vacuum-chamber-over-pressurization
28,group,impact injury; auditory discomfort,explosion; equipment damage,minor,dry ice,human error; equipment failure,"A researcher packaged a microgram crystalline sample with dry ice inside a glass vial placed in a plastic secondary container with a screw cap loosely fitted to vent. Later, the container was stuck shut, likely due to condensation freezing in the cap threads. While the researcher and a staff member attempted to open it, gas from sublimating dry ice caused overpressurization, shattering the secondary container and glass vial. Glass shards struck the staff member’s face and prescription glasses, and both individuals experienced temporary ringing in their ears.",Use appropriate PPE; Handle chemicals carefully; Follow standard operating procedures,"University of California, Berkeley",https://ehs.berkeley.edu/news/plastic-secondary-container-shatters-due-dry-ice-sublimation
29,none,none,explosion; chemical release; equipment damage,moderate,nitric acid; residual organics,chemical instability; improper storage; improper waste management,"A graduate student consolidated aqueous nitric acid waste into a 4-L bottle that previously held organic reagents. The bottle, stored in a fume hood alongside other chemicals and equipment, contained residual organic compounds. Several hours later, the mixture reacted, producing gases that over-pressurized the vessel, shattering it and surrounding glassware. Brown liquid and glass debris were found on the floor by a custodian. The fume hood sash had been left open, allowing glass fragments to spread further. EH&S provided poly-coated bottles with vented caps and reinforced proper waste storage protocols.",Handle chemicals carefully; Store chemicals under safe conditions; Follow standard operating procedures; Follow hazardous waste protocols,"University of California, Berkeley",https://ehs.berkeley.edu/news/nitric-acid-waste-over-pressurization-event
30,individual,cut,explosion; equipment damage,moderate,unknown,human error,"A postdoctoral researcher synthesizing a potentially explosive compound in a fume hood followed a published procedure that required the material to remain wet with solvent. After transferring most of the product into a beaker with solvent, the researcher attempted to scrape the dry residue left on the filter using a plastic spatula. Friction between the spatula and funnel triggered an explosion, causing minor cuts to the researcher’s hands. The fume hood sash contained the blast, and emergency protocols were followed.",Handle chemicals carefully; Follow standard operating procedures; Use appropriate PPE; Train staff,"University of California, Berkeley",https://ehs.berkeley.edu/news/dry-scraping-causes-chemical-explosion
31,individual,burn,chemical release,minor,sulfuric acid; hydrogen peroxide,human error; lack of training; improper waste management,"A researcher transferring piranha solution (sulfuric acid and hydrogen peroxide) from an overfilled waste container to an empty bottle spilled corrosive liquid inside a fume hood. The solution contacted the researcher’s arm, causing small burns. PPE was worn as specified in the SOP, and the researcher immediately irrigated the affected area. Colleagues neutralized the spill, and the injured researcher was treated at a medical center. Lack of clear waste container fill markings and the absence of a procedure for overfilled containers contributed to the incident.",Train staff; Use appropriate PPE; Handle chemicals carefully; Follow standard operating procedures; Follow hazardous waste protocols,"University of California, Berkeley",https://ehs.berkeley.edu/news/corrosive-waste-spill
32,individual,eye injury; cut,explosion; equipment damage,major,diazonium perchlorate,human error; improper handling; lack of training,"A graduate student was synthesizing approximately one gram of diazonium perchlorate crystals. While transferring the material with a metal spatula, it exploded, sending porcelain fragments into his face. The fragments shattered his eyeglass lenses and lacerated his left cornea. A nearby researcher assisted him to an eyewash station and called campus police. He was taken to hospital, underwent eye surgery, and was treated for several facial lacerations before being discharged the same evening.",Train staff; Use appropriate PPE; Follow standard operating procedures; Handle chemicals carefully,"University of California, Berkeley",https://ehs.berkeley.edu/news/chemical-explosion-causes-eye-injury
33,individual,burn,fire; thermal damage,moderate,mineral oil; liquid nitrogen,human error; equipment failure,"A researcher was using an older model hot plate to heat a mineral oil bath. Unfamiliar with the controls, the researcher believed the hot plate was turned off, but the dial had rotated past “OFF” to “HI.” Thirty minutes later, the oil bath ignited. The fire was contained inside the fume hood, preventing ignition of other chemicals. A CO? extinguisher briefly put out the flames, but the oil reignited. The researcher then poured liquid nitrogen onto the hot oil in an attempt to cool and smother the fire, causing rapid nitrogen expansion and oil splatter. The splattering oil caused first- and second-degree burns to the researcher’s hands and first-degree burns to the face. The researcher used an emergency shower, UCPD was called, and he was taken by ambulance to hospital. The incident caused minor smoke damage in the hood.",Handle chemicals carefully; Follow standard operating procedures; Maintain equipment safety features; Use appropriate PPE,"University of California, Berkeley",https://ehs.berkeley.edu/news/lab-fire-caused-hotplate-heating-oil-bath-injured-researcher
34,individual,cut,explosion; equipment damage,severe,flammable gas; pyrophoric reagent,unknown; chemical instability; physical conditions,"A graduate student sustained serious injuries when a glass reactor over-pressurized and failed, spraying glass fragments. The incident caused cuts to the lip, chin, chest, and severe lacerations to the hands, requiring stitches and surgery on the palm. The experiment involved a liquefied toxic and flammable gas used with a pyrophoric reagent, carried out inside a fume hood. The exact cause is unknown, but possible factors include thermal cycling weakening the glass and causing micro-fissures, or impurities triggering a rapid exothermic reaction. The lab was closed for nine days for safety review, retraining, and SOP evaluation. Safety glasses were worn, likely preventing eye injury, but a lab coat was not worn, possibly contributing to arm injuries.",Handle chemicals carefully; Follow standard operating procedures; Maintain equipment safety features; Use appropriate PPE,"University of California, Berkeley",https://ehs.berkeley.edu/news/glass-reactor-over-pressurization-causes-serious-injury-grad-student-researcher
35,individual,none,none,near miss,bleach; hydrochloric acid,human error; missing label,"A researcher in a lab glassware washing area mistakenly added fresh bleach to a tub containing 5% hydrochloric acid, expecting it to be the bleach soaking tub. The mixture briefly turned yellow, and although toxic chlorine gas can form from bleach–acid mixing, no dense gas cloud was observed, likely due to good ventilation. The researcher evacuated the area and contacted EH&S, who determined it was a near miss. The tub had poor labeling, with only a small piece of tape on the lid and no label on the container. Future precautions include clearer labeling, distinct containers, documented training, and the option to place acid baths in fume hoods for added protection.",Train staff; Practice proper labeling; Maintain updated inventory; Store chemicals under safe conditions; Follow standard operating procedures; Handle chemicals carefully,"University of California, Berkeley",https://ehs.berkeley.edu/news/accidental-mixing-bleach-and-acid
36,individual,impact injury; cut,equipment damage,minor,liquid nitrogen,equipment failure; improper handling,"A scientist sustained a forehead laceration when the cap of a 50-L liquid nitrogen Dewar burst off. The Dewar had not been used for several months, and the scientist assumed it was depressurized. Without wearing safety goggles or a face shield, he tried to verify depressurization by pulling a pressure relief plug not designed for manual operation. He then removed the clamp holding the top valve assembly instead of using a safe fixed fill line. The assembly blew off under pressure and struck him between the eyes. Investigation revealed that the safety chain preventing the top from flying off had been removed, and the retaining collar bolt threads were worn, replaced with an undersized hex nut.",Maintain equipment safety features; Use appropriate PPE; Handle chemicals carefully; Follow standard operating procedures,"University of California, Berkeley",https://ehs.berkeley.edu/news/pressurized-dewar-cap-blown-and-causes-minor-injury
37,individual,burn,none,moderate,oleylamine,human error,"While drying a large quantity of oleylamine in a three-neck flask under pressurized argon, a laboratory researcher removed a septum from the flask neck, causing the chemical to spurt out and land on his unprotected left forearm. Only a brief (<1 min) wash with soap and water was performed. Hours later, chemical burns appeared and worsened overnight, leading to blistering and hospital treatment. The researcher had done this procedure many times without incident, was unaware of oleylamine’s high corrosivity, wore no lab coat, and increased argon pressure to save time.",Use appropriate PPE; Handle chemicals carefully; Follow standard operating procedures; Train staff,"University of California, Berkeley",https://ehs.berkeley.edu/news/oleylamine-chemical-burn
38,individual,burn,fire; flooding; water damage,major,acetone,lack of training; human error; improper storage,"A student worker spilled about one cup of acetone while refilling squirt bottles. Instead of following proper spill cleanup procedures, he ignited the spill with a match, causing flames. He accidentally knocked over another uncapped acetone bottle, which ignited and triggered fire sprinklers, releasing 3,000 gallons of water, flooding the lab and adjacent rooms. The fire was extinguished and the student sustained only minor injuries.",Train staff; Use appropriate PPE; Handle chemicals carefully; Follow standard operating procedures; Store chemicals under safe conditions,"University of California, Berkeley",https://ehs.berkeley.edu/news/acetone-fire
39,individual,none,chemical release,minor,strychnine; azure blue dye,human error; improper storage,"While reaching for a chemical on an overhead shelf, a graduate student leaned on the shelf, causing it to shift and knock down several containers. Two bottles, capped with aluminum foil instead of original screw caps, fell and released strychnine powder and azure blue dye onto the researcher, bench, and floor. The student used a safety shower for 15 minutes and was evaluated medically. No ingestion occurred.",Store chemicals under safe conditions; Handle chemicals carefully; Use appropriate PPE,"University of California, Berkeley",https://ehs.berkeley.edu/news/exposure-poisonous-chemicals-due-improper-storage-and-unsafe-work-practices
40,group,inhalation,chemical release; contamination,moderate,bromine,human error; improper storage,"During a chemical inventory in a laboratory refrigerator, three graduate students attempted to clean what they assumed was water condensation. They discovered a leaking bottle of 99% bromine, stopped the clean-up, and notified the Department Safety Coordinator. All three exhibited symptoms of bromine inhalation and were treated at the University Health Center. The leak was likely caused by overcrowding in the refrigerator. EH&S completed the spill clean-up.",Handle chemicals carefully; Train staff; Store chemicals under safe conditions; Maintain updated inventory,"University of California, Berkeley",https://ehs.berkeley.edu/news/exposure-bromine-during-laboratory-refrigerator-clean
41,individual,burn,fire,major,acetone; ether,human error; lack of training,"A graduate student conducted evaporation procedures outside of a fume hood using a general-purpose electric pump and a roto-evaporator without exhaust ventilation. Applying a vacuum to the condenser tower created an explosive mixture of acetone and ether vapors, which ignited when the power shut-off switch was activated. The incident caused second and third-degree burns to the student’s hand.",Use appropriate PPE; Follow standard operating procedures; Train staff; Handle chemicals carefully,"University of California, Berkeley",https://ehs.berkeley.edu/news/improperly-vented-experiment-causes-explosion-and-burns
42,individual,impact injury,none,moderate,compressed gas cylinder,equipment failure; human error,"A researcher was loading a gas cylinder on a two-cylinder cart when the previously loaded cylinder fell and crushed his toes. The cart lacked the ability to secure both cylinders independently, creating a tipping hazard. The victim had experienced prior near misses but did not address the risk.",Maintain equipment safety features; Train staff; Handle chemicals carefully,"University of California, Berkeley",https://ehs.berkeley.edu/news/employees-toes-crushed-falling-compressed-gas-cylinder
43,individual,impact injury; cut,explosion; equipment damage,major,tetrahydrofuran (THF); diethyl ether; azobenzene; hydrochloric acid in ether,chemical instability; human error; lack of training,"was using a rotary evaporator to remove solvents from an azobenzene precipitate when the bottom flask exploded, sending glass fragments into her face and torso. The solvents, tetrahydrofuran and diethyl ether, had formed shock-sensitive peroxides due to long storage without stabilizers. Concentration during evaporation and handling of the nearly dry vessel triggered the explosion. The THF bottle was nearly empty, unstabilized, and found to contain high peroxide levels.",Handle chemicals carefully; Store chemicals under safe conditions; Dispose of unknown or expired substances; Use appropriate PPE; Train staff; Follow standard operating procedures,"University of California, Berkeley",https://ehs.berkeley.edu/news/peroxide-explosion-injures-campus-researcher
44,individual,chemical exposure; burn,chemical release; equipment damage,moderate,isopropanol; nitric acid,missing label; human error; improper waste management,"A researcher poured isopropanol waste into a container labeled “isopropanol,” unaware it actually contained concentrated nitric acid from spent copper etchant. The resulting reaction ruptured the container, spraying acid around the lab. The researcher experienced burning on his skin and used an emergency shower before being escorted to the campus health center, where he was treated for acid burns. The container had been mislabeled and a prior safety inspection had already flagged waste labeling as an issue.",Practice proper labeling; Follow hazardous waste protocols; Use appropriate PPE; Follow standard operating procedures; Train staff,"University of California, Berkeley",https://ehs.berkeley.edu/news/improper-labeling-causes-injury-acid-spray
45,individual,none,explosion; fire; equipment damage; alarm activation; evacuation,moderate,diethyl ether; ethyl acetate; hexane,human error; equipment failure; improper waste management,"A graduate student attempted tooperate a rotary evaporator connected to a vacuum pump located inside a fume hood cabinet. After turning the pump off and back on, a loud explosion occurred, and the pump caught fire, producing flames and smoke. The fire alarm activated, and the fire department extinguished the fire with water. The probable cause was ignition of diethyl ether vapor exhausted into the enclosed cabinet from earlier use, ignited by either a spark from the pump motor or cooling fan.",Maintain equipment safety features; Handle chemicals carefully; Follow standard operating procedures; Follow hazardous waste protocols; Train staff,University of Pennsylvania,https://ehrs.upenn.edu/health-safety/lab-safety/safety-alerts-and-faqs/vacuum-pump-explosion-chemistry-building
46,none,none,explosion; equipment damage; contamination; lab shutdown; alarm activation,major,none,equipment failure; lack of training,"During the operation of a Beckman L2-65B ultracentrifuge with a large aluminum rotor, the rotor failed after approximately one hour due to excessive mechanical stress from high rotation speeds. The explosion completely destroyed the centrifuge, ruptured its steel door, and propelled fragments across the lab, damaging a refrigerator, ultra-cold freezer, walls, ceiling, cabinets, and shelving. A shock wave shattered windows, destroyed an incubator control system, and collapsed shelving. No personnel were present at the time, and no injuries occurred. Investigation highlighted the need for de-rating older rotors, maintaining rotor use logs, and ensuring proper training for all operators.",Follow standard operating procedures; Maintain equipment safety features; Train staff,University of Pennsylvania,https://ehrs.upenn.edu/health-safety/lab-safety/safety-alerts/ultracentrifuge-explosion-damages-laboratory
